,ID,label_cp,train_val_predict,URL
0,12552,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/63_0002CR0D.png
1,12546,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/89_0002CR0D.png
2,12542,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/98_0003CR0D.png
3,12515,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/141_0005CL0D.png
4,12512,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/145_0002CR0D.png
5,12513,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/144_0001CR0D.png
6,12505,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/154_0001CR0D.png
7,12500,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/160_0002CR0D.png
8,12484,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/182_0003CL0D.png
9,12476,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/192_0002CR0D.png
10,12472,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/197_0001CR0D.png
11,12466,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/204_0002CL0D.png
12,12465,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/205_0001CL0D.png
13,12458,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/212_0001CR0D.png
14,12446,peripheral,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/226_0005CL0D.png
15,12447,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/225_0003CR0D.png
16,12445,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/227_0004CL0D.png
17,12435,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/239_0001CR0D.png
18,12432,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/243_0001CR0D.png
19,12429,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/246_0004CL0D.png
20,12427,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/248_0007CL0D.png
21,12421,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/256_0002CR0D.png
22,12419,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/258_0004CL0D.png
23,12403,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/281_0003CR0D.png
24,12398,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/289_0005CL0D.png
25,12397,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/290_0004CL0D.png
26,12394,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/295_0001CR0D.png
27,12391,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/298_0003CR0D.png
28,12385,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/305_0004CL0D.png
29,12388,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/301_0002CR0D.png
30,12387,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/302_0001CR0D.png
31,12381,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/310_0001CR0D.png
32,12380,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/311_0002CR0D.png
33,12366,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/327_0004CL0D.png
34,12362,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/331_0003CR0D.png
35,12361,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/332_0002CR0D.png
36,12357,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/336_0002CR0D.png
37,12353,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/342_0001CR0D.png
38,12350,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/346_0005CL0D.png
39,12348,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/348_0001CR0D.png
40,12343,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/353_0003CL0D.png
41,12327,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/379_0004CL0D.png
42,12326,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/380_0001CR0D.png
43,12325,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/382_0004CL0D.png
44,12318,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/392_0004CL0D.png
45,12317,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/393_0003CL0D.png
46,12309,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/403_0004CL0D.png
47,12294,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/422_0004CL0D.png
48,12293,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/423_0003CL0D.png
49,12287,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/431_0004CL0D.png
50,12286,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/432_0003CL0D.png
51,12278,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/442_0002CR0D.png
52,12269,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/453_0003CL0D.png
53,12267,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/456_0004CL0D.png
54,12263,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/460_0004CL0D.png
55,12251,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/473_0003CL0D.png
56,12250,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/475_0002CR0D.png
57,12244,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/482_0004CL0D.png
58,12237,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/491_0004CL0D.png
59,12238,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/490_0002CR0D.png
60,12236,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/493_0001CR0D.png
61,12225,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/504_0004CL0D.png
62,12217,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/515_0002CR0D.png
63,12218,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/514_0001CR0D.png
64,12195,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/542_0003CL0D.png
65,12191,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/547_0003CL0D.png
66,12190,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/548_0001CR0D.png
67,12189,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/549_0002CR0D.png
68,12184,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/554_0004CL0D.png
69,12182,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/556_0001CR0D.png
70,12181,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/558_0004CL0D.png
71,12171,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/570_0001CR0D.png
72,12167,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/575_0002CR0D.png
73,12164,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/578_0004CL0D.png
74,12160,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/583_0002CR0D.png
75,12161,central,train,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/582_0001CR0D.png
