,ID,label_lr,train_val_predict,src,URL
0,12220,right,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/511_0002CR0D.png
1,12219,left,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/512_0004CL0D.png
2,12218,right,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/514_0001CR0D.png
3,12216,left,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/516_0005CL0D.png
4,12215,left,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/517_0004CL0D.png
5,12214,right,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/518_0001CR0D.png
6,12212,left,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/520_0004CL0D.png
7,12210,left,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/523_0003CL0D.png
8,12209,right,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/525_0002CR0D.png
9,12208,left,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/526_0004CL0D.png
10,12207,left,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/527_0003CL0D.png
11,12206,right,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/528_0001CR0D.png
12,12205,right,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/529_0002CR0D.png
13,12204,left,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/530_0004CL0D.png
14,12203,left,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/531_0003CL0D.png
15,12202,right,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/533_0002CR0D.png
16,12201,left,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/534_0005CL0D.png
17,12200,left,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/536_0006CL0D.png
18,12198,right,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/538_0001CR0D.png
19,12197,right,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/539_0003CR0D.png
20,12196,left,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/541_0004CL0D.png
21,12195,left,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/542_0003CL0D.png
22,12194,right,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/543_0001CR0D.png
23,12163,left,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/579_0003CL0D.png
24,12162,left,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/581_0003CL0D.png
25,12159,right,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/586_0001CR0D.png
26,12158,right,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/587_0002CR0D.png
27,12156,left,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/589_0003CL0D.png
28,12155,right,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/590_0001CR0D.png
29,12126,right,train,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/629_0002CR0D.png
30,12125,left,train,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/630_0004CL0D.png
31,12792,left,val,BAIDU,http://192.168.0.21:8080/data/local-files/?d=BAIDU/BAIDU-N0034.jpg
32,12790,left,val,BAIDU,http://192.168.0.21:8080/data/local-files/?d=BAIDU/BAIDU-N0036.jpg
33,12788,left,val,BAIDU,http://192.168.0.21:8080/data/local-files/?d=BAIDU/BAIDU-N0038.jpg
34,12787,left,val,BAIDU,http://192.168.0.21:8080/data/local-files/?d=BAIDU/BAIDU-N0039.jpg
